State,Amount
Alabama,740495000
Alaska,307739000
Arizona,1058553000
Arkansas,476972000
California,8245936000
Colorado,3158383000
Connecticut,745747000
Delaware,361398000
DistrictofColumbia,214234000
Florida,3563091000
Georgia,1696100000
Hawaii,276643000
Idaho,372821000
Illinois,3127229000
Indiana,1622305000
Iowa,997970000
Kansas,509255000
Kentucky,764038000
Louisiana,885150000
Maine,613074000
Maryland,910567000
Massachusetts,2220868000
Michigan,2482858000
Minnesota,2066686000
Mississippi,312106000
Missouri,1234691000
Montana,441943000
Nebraska,537160000
Nevada,465440000
NewHampshire,454368000
NewJersey,1689145000
NewMexico,346553000
NewYork,4103780000
NorthCarolina,2186388000
NorthDakota,237005000
Ohio,3122388000
Oklahoma,596025000
Oregon,2021641000
Pennsylvania,6344934000
RhodeIsland,196088000
SouthCarolina,780451000
SouthDakota,221047000
Tennessee,1259791000
Texas,5282764000
Utah,452592000
Vermont,326357000
Virginia,1640674000
Washington,1757639000
WestVirginia,309048000
Wisconsin,2255993000
Wyoming,200781000
