Barrels,Number_of_Breweries,Total_Barrels,Taxable_Removals,Total_Shipped_Exported,Date
6000001 Barrels and Over,15,135615117.5,124049346.8,5331930.36,2017
2000000 to 6000000 Barrels,5,17288133.2,16092810.95,1015504.88,2017
1000001 to 1999999 Barrels,4,4868564.08,4897090.56,4110.4,2017
500001 to 1000000 Barrels,10,6253029.02,5720117.89,94410.33,2017
100001 to 500000 Barrels,40,8792844.25,6811548.01,235283.84,2017
60001 to 100000 Barrels,41,3175932.85,2714928.75,47505.37,2017
30001 to 60000 Barrels,53,2230144.53,1940812.97,27479.68,2017
15001 to 30000 Barrels,99,2062332.14,2239986.46,38491.22,2017
7501 to 15000 Barrels,152,1565335.71,1556842.26,6874.6,2017
1001 to 7500 Barrels,1030,2656419.36,3626288.32,11294.07,2017
1 to 1000 Barrels ,3646,1073977.86,1003361.14,790.59,2017
Under 1 Barrel,553,6.73,107494.1,503.53,2017
6000001 Barrels and Over,14,131659359.2,119774532,5066076.38,2016
2000000 to 6000000 Barrels,7,26452765.43,25147830.59,898290.35,2016
1000001 to 1999999 Barrels,4,4999263.95,4994536.9,47250.18,2016
500001 to 1000000 Barrels,6,4293996.9,4014943.39,4748.99,2016
100001 to 500000 Barrels,45,10469048.22,8618323.45,276289.46,2016
60001 to 100000 Barrels,38,3052311.48,2395062.26,48970.93,2016
30001 to 60000 Barrels,53,2329947.35,2069205.94,85136.87,2016
15001 to 30000 Barrels,75,1577515.39,1341223.91,37302.6,2016
7501 to 15000 Barrels,148,1550640.42,1351541.96,11813.32,2016
1001 to 7500 Barrels,935,2461722.99,2282897.14,13608.25,2016
1 to 1000 Barrels ,3283,993337.92,864097.2,889.04,2016
Under 1 Barrel,488,4.43,102983.4,601.98,2016
6000001 Barrels and Over,15,136122437.4,124274009.9,4949737.19,2015
2000000 to 6000000 Barrels,6,23939648.17,23001189.23,731500.8,2015
1000001 to 1999999 Barrels,4,4997347.64,4983601.48,50188.48,2015
500001 to 1000000 Barrels,7,5050717.11,4821272.06,16414.1,2015
100001 to 500000 Barrels,49,10645528.1,8697815.57,336057.52,2015
60001 to 100000 Barrels,24,1887855.83,1583089.18,23158.65,2015
30001 to 60000 Barrels,56,2453623.13,2185447.02,29356.22,2015
15001 to 30000 Barrels,71,1509411.47,1294031.85,40755.39,2015
7501 to 15000 Barrels,133,1427754.07,1203851.81,25574.94,2015
1001 to 7500 Barrels,851,2242859.09,1978577.42,6661.33,2015
1 to 1000 Barrels ,2812,835835.99,733307.88,1892.46,2015
Zero Barrels ,476,0,87811.22,0,2015
6000001 Barrels and Over,15,138677888.1,127713535.8,4331255.24,2014
2000000 to 6000000 Barrels,6,25151895.32,23845947.59,610799.51,2014
1000001 to 1999999 Barrels,5,6055336.28,5863392.69,43468.52,2014
500001 to 1000000 Barrels,6,3836841.48,3593230.98,9185.76,2014
100001 to 500000 Barrels,44,9093514.82,7116673.8,344448.36,2014
60001 to 100000 Barrels,20,1548669.55,1383528.02,20895.86,2014
30001 to 60000 Barrels,62,2639561.55,2301357.8,40785.96,2014
15001 to 30000 Barrels,62,1310960.09,1070829.91,71296.98,2014
7501 to 15000 Barrels,102,1042199.42,916679.91,22024.91,2014
1001 to 7500 Barrels,730,1959533.5,1701354.4,12954.04,2014
1 to 1000 Barrels ,2321,698737.88,607290.33,1547.17,2014
6000001 Barrels and Over,17,153023498.6,141659034.5,4385750.82,2013
2000000 to 6000000 Barrels,4,13394409.41,12862214.07,495472.05,2013
1000001 to 1999999 Barrels,4,4821249.3,4665737.17,35344.17,2013
500001 to 1000000 Barrels,7,4797758.09,4476211,4972.9,2013
100001 to 500000 Barrels,38,7637584.41,6147217.43,275310.15,2013
60001 to 100000 Barrels,24,1824548.27,1608488.44,24431.21,2013
30001 to 60000 Barrels,52,2271814.7,1909650.87,58028.54,2013
15001 to 30000 Barrels,51,1087970.73,921515.39,18103.53,2013
7501 to 15000 Barrels,81,842820.06,740591.81,6428.53,2013
1001 to 7500 Barrels,645,1693579.73,1479649,6369.45,2013
1 to 1000 Barrels ,1923,602141.42,528020.28,922.77,2013
6000001 Barrels and Over,17,157780750.2,145588666.8,4373957.04,2012
2000000 to 6000000 Barrels,3,11735116,11489249.17,151766.17,2012
1000001 to 1999999 Barrels,5,6864214.06,6526545.81,75749.98,2012
500001 to 1000000 Barrels,7,4654830.64,3809078.87,4634.92,2012
100001 to 500000 Barrels,39,7810357.34,6085448.83,236207.55,2012
60001 to 100000 Barrels,20,1468172.46,1250720.93,97318.04,2012
30001 to 60000 Barrels,50,2179429.59,1858876.35,62416.26,2012
15001 to 30000 Barrels,44,913884.27,764190.6,13281.07,2012
7501 to 15000 Barrels,77,821100.64,715087.67,11054.03,2012
1001 to 7500 Barrels,564,1402600.67,1249661.17,3610.03,2012
1 to 1000 Barrels ,1604,516746.49,459217.49,1220.38,2012
6000001 Barrels and Over,16,138963353.8,128108304.3,3578089.34,2011
2000000 to 6000000 Barrels,5,17703591,16695626.31,84271.18,2011
1000001 to 1999999 Barrels,9,13524548.35,12843570.78,363998.23,2011
500001 to 1000000 Barrels,11,8448633.99,7946481.07,50702.23,2011
100001 to 500000 Barrels,41,7926808.21,6624765.18,242865.43,2011
60001 to 100000 Barrels,16,1157839.9,1059934.77,11701.43,2011
30001 to 60000 Barrels,43,1754234.55,1476996.37,52204.69,2011
15001 to 30000 Barrels,42,893273.36,710825.62,40413.02,2011
7501 to 15000 Barrels,63,662095.46,577424.67,270.75,2011
1001 to 7500 Barrels,513,1254333.75,1126835.82,930.14,2011
1 to 1000 Barrels ,1334,458109.83,416612.28,580.62,2011
6000001 Barrels and Over,17,160771860.7,149598222.8,3659459.42,2010
1000000 to 6000000 Barrels (5),5,15450769.1,14777149.88,37401.27,2010
500001 to 1000000 Barrels,9,7138171.64,6362275.19,16610.42,2010
100001 to 500000 Barrels,32,6123725.23,5127607.79,254925.11,2010
60001 to 100000 Barrels,16,1226091.75,1034161.39,12534,2010
30001 to 60000 Barrels,38,1544051.1,1256492.48,42409.47,2010
15001 to 30000 Barrels,40,911065.75,781016.15,19077.36,2010
7501 to 15000 Barrels,51,560159.34,465843.88,4521.08,2010
1001 to 7500 Barrels,428,1059505.16,962969.63,2227.7,2010
1 to 1000 Barrels ,1178,426003.38,393941.57,1279.83,2010
6000001 Barrels and Over,18,171232881.6,159643984.2,3639970.11,2009
1000001 to 6000000 Barrels (5),4,9970404.28,9592722.75,14548.37,2009
500001 to 1000000 Barrels,7,4831385.68,4535659.48,21563.66,2009
100001 to 500000 Barrels,27,5422155.72,4469288.93,128000.13,2009
60001 to 100000 Barrels,19,1501976.56,1224618.44,95732.77,2009
30001 to 60000 Barrels,32,1412244.73,1233958.75,14369.85,2009
15001 to 30000 Barrels,40,895133.22,750528.77,19808.1,2009
